,MRA,base,base2
0,0.345,0.432,0.503
1,0.343,0.44,0.512
2,0.337,0.431,0.5
3,0.337,0.425,0.497
4,0.343,0.453,0.506
5,0.345,0.423,0.495
6,0.338,0.422,0.49
7,0.339,0.444,0.506
8,0.346,0.439,0.507
9,0.336,0.436,0.502
10,0.337,0.429,0.498
11,0.344,0.456,0.52
12,0.341,0.425,0.497
13,0.343,0.45,0.511
14,0.34,0.428,0.501
15,0.341,0.436,0.509
16,0.34,0.438,0.506
17,0.348,0.432,0.504
18,0.34,0.432,0.501
19,0.342,0.436,0.504
20,0.335,0.426,0.498
21,0.338,0.415,0.488
22,0.335,0.437,0.504
23,0.336,0.432,0.501
24,0.345,0.436,0.508
25,0.337,0.441,0.511
26,0.337,0.449,0.514
27,0.343,0.442,0.512
28,0.343,0.441,0.515
29,0.341,0.443,0.506
30,0.336,0.421,0.495
31,0.34,0.417,0.487
32,0.344,0.436,0.502
33,0.34,0.427,0.5
34,0.337,0.438,0.509
35,0.34,0.431,0.502
36,0.332,0.431,0.501
37,0.344,0.439,0.507
38,0.339,0.45,0.515
39,0.339,0.416,0.486
40,0.331,0.426,0.495
41,0.343,0.443,0.512
42,0.336,0.434,0.503
43,0.351,0.424,0.492
44,0.342,0.437,0.512
45,0.338,0.44,0.506
46,0.344,0.438,0.507
47,0.349,0.44,0.51
48,0.343,0.435,0.506
49,0.34,0.44,0.513
50,0.334,0.459,0.506
51,0.337,0.43,0.499
52,0.335,0.444,0.507
53,0.343,0.435,0.503
54,0.334,0.431,0.502
55,0.339,0.429,0.503
56,0.345,0.433,0.506
57,0.335,0.446,0.503
58,0.352,0.436,0.51
59,0.335,0.44,0.509
60,0.339,0.424,0.493
61,0.351,0.447,0.517
62,0.344,0.448,0.517
63,0.346,0.434,0.506
64,0.341,0.452,0.513
65,0.339,0.436,0.512
66,0.331,0.427,0.494
67,0.353,0.444,0.513
68,0.337,0.437,0.509
69,0.331,0.442,0.504
70,0.342,0.44,0.512
71,0.343,0.434,0.505
72,0.356,0.425,0.497
73,0.334,0.435,0.504
74,0.332,0.437,0.507
75,0.343,0.434,0.506
76,0.342,0.43,0.504
77,0.342,0.447,0.51
78,0.334,0.438,0.503
79,0.34,0.444,0.51
80,0.337,0.432,0.505
81,0.334,0.422,0.489
82,0.345,0.432,0.503
83,0.337,0.439,0.498
84,0.339,0.438,0.509
85,0.343,0.434,0.506
86,0.328,0.427,0.503
87,0.339,0.455,0.514
88,0.339,0.437,0.506
89,0.343,0.432,0.505
90,0.344,0.44,0.511
91,0.335,0.43,0.498
92,0.329,0.43,0.5
93,0.355,0.425,0.5
94,0.338,0.44,0.511
95,0.344,0.441,0.508
96,0.334,0.438,0.508
97,0.337,0.425,0.494
98,0.339,0.433,0.503
99,0.347,0.423,0.496
100,0.328,0.431,0.499
101,0.326,0.428,0.497
102,0.334,0.445,0.509
103,0.336,0.447,0.503
104,0.337,0.426,0.495
105,0.336,0.443,0.508
106,0.34,0.442,0.511
107,0.35,0.437,0.508
108,0.336,0.446,0.509
109,0.342,0.435,0.504
110,0.339,0.434,0.505
