,MRA,base,base2
0,0.183,0.183,0.215
1,0.185,0.182,0.215
2,0.187,0.192,0.22
3,0.179,0.183,0.212
4,0.182,0.181,0.211
5,0.185,0.186,0.218
6,0.181,0.18,0.209
7,0.177,0.181,0.211
8,0.183,0.183,0.214
9,0.182,0.18,0.21
10,0.181,0.183,0.212
11,0.18,0.183,0.211
12,0.183,0.184,0.213
13,0.179,0.182,0.212
14,0.185,0.187,0.216
15,0.182,0.189,0.214
16,0.179,0.182,0.21
17,0.183,0.185,0.216
18,0.186,0.185,0.213
19,0.184,0.186,0.215
20,0.176,0.177,0.205
21,0.186,0.19,0.218
22,0.18,0.18,0.209
23,0.184,0.185,0.214
24,0.19,0.189,0.218
25,0.187,0.188,0.215
26,0.181,0.181,0.209
27,0.186,0.189,0.217
28,0.19,0.187,0.217
29,0.179,0.179,0.207
30,0.18,0.179,0.209
31,0.175,0.176,0.204
32,0.183,0.185,0.215
33,0.184,0.185,0.213
34,0.174,0.179,0.209
35,0.183,0.184,0.214
36,0.186,0.183,0.214
37,0.181,0.184,0.215
38,0.186,0.186,0.215
39,0.182,0.18,0.21
40,0.185,0.188,0.215
41,0.183,0.185,0.213
42,0.183,0.183,0.213
43,0.192,0.191,0.221
44,0.182,0.183,0.214
45,0.183,0.183,0.212
46,0.183,0.184,0.212
47,0.181,0.182,0.209
48,0.18,0.181,0.212
49,0.183,0.184,0.216
50,0.185,0.185,0.215
51,0.189,0.195,0.226
52,0.183,0.184,0.215
53,0.176,0.18,0.208
54,0.179,0.183,0.211
55,0.186,0.189,0.22
56,0.182,0.185,0.214
57,0.185,0.181,0.213
58,0.182,0.181,0.21
59,0.19,0.19,0.22
60,0.174,0.176,0.203
61,0.179,0.18,0.21
62,0.179,0.182,0.209
63,0.189,0.191,0.222
64,0.18,0.182,0.212
65,0.182,0.185,0.216
66,0.182,0.183,0.21
67,0.183,0.184,0.211
68,0.174,0.178,0.202
69,0.183,0.184,0.211
70,0.179,0.183,0.215
71,0.182,0.181,0.213
72,0.187,0.187,0.216
73,0.182,0.185,0.214
74,0.177,0.18,0.208
75,0.188,0.19,0.221
76,0.176,0.178,0.204
77,0.186,0.184,0.217
78,0.181,0.184,0.212
79,0.178,0.181,0.209
80,0.188,0.189,0.22
81,0.186,0.186,0.218
82,0.187,0.183,0.212
83,0.186,0.185,0.215
84,0.179,0.18,0.209
85,0.183,0.186,0.213
86,0.175,0.177,0.205
87,0.189,0.185,0.213
88,0.183,0.184,0.213
89,0.186,0.181,0.214
90,0.181,0.184,0.213
91,0.192,0.194,0.224
92,0.18,0.181,0.209
93,0.188,0.186,0.22
94,0.18,0.185,0.213
95,0.185,0.185,0.215
96,0.185,0.19,0.217
97,0.18,0.18,0.211
98,0.187,0.188,0.216
99,0.19,0.19,0.222
100,0.185,0.185,0.214
101,0.181,0.183,0.211
102,0.173,0.174,0.202
103,0.189,0.187,0.217
104,0.178,0.176,0.205
105,0.183,0.181,0.212
106,0.187,0.186,0.215
107,0.182,0.187,0.215
108,0.177,0.182,0.212
109,0.183,0.187,0.215
110,0.184,0.186,0.214
111,0.188,0.186,0.218
112,0.18,0.182,0.211
113,0.186,0.188,0.218
114,0.188,0.19,0.221
115,0.183,0.187,0.214
116,0.182,0.182,0.21
117,0.186,0.188,0.218
118,0.183,0.185,0.213
119,0.18,0.183,0.212
120,0.184,0.182,0.212
121,0.187,0.191,0.221
122,0.18,0.187,0.214
123,0.176,0.178,0.21
124,0.19,0.19,0.222
125,0.185,0.182,0.212
126,0.178,0.18,0.209
127,0.184,0.186,0.217
128,0.187,0.19,0.219
129,0.187,0.185,0.216
130,0.185,0.186,0.217
131,0.178,0.183,0.209
132,0.185,0.187,0.218
133,0.19,0.184,0.219
134,0.181,0.185,0.214
135,0.182,0.186,0.215
136,0.174,0.176,0.206
137,0.184,0.186,0.215
138,0.181,0.183,0.212
139,0.182,0.183,0.212
140,0.185,0.189,0.221
141,0.19,0.193,0.224
142,0.185,0.186,0.217
143,0.184,0.18,0.211
144,0.174,0.18,0.207
145,0.185,0.191,0.22
146,0.185,0.184,0.212
147,0.187,0.187,0.218
148,0.177,0.178,0.208
149,0.194,0.193,0.223
150,0.184,0.184,0.212
151,0.177,0.178,0.207
152,0.181,0.184,0.211
153,0.19,0.191,0.22
154,0.183,0.181,0.21
155,0.184,0.187,0.215
156,0.176,0.18,0.208
157,0.183,0.187,0.216
158,0.187,0.183,0.215
159,0.189,0.182,0.216
160,0.175,0.177,0.204
161,0.186,0.185,0.217
162,0.187,0.184,0.217
163,0.179,0.179,0.212
164,0.183,0.188,0.215
165,0.186,0.184,0.216
166,0.186,0.188,0.217
167,0.185,0.187,0.218
168,0.18,0.18,0.21
169,0.176,0.18,0.206
170,0.185,0.186,0.215
171,0.178,0.181,0.212
172,0.186,0.184,0.216
173,0.186,0.184,0.213
174,0.183,0.189,0.215
175,0.178,0.184,0.21
176,0.184,0.181,0.21
177,0.186,0.187,0.216
178,0.18,0.183,0.212
179,0.184,0.18,0.21
180,0.178,0.179,0.209
181,0.182,0.184,0.213
182,0.185,0.185,0.217
183,0.188,0.188,0.218
184,0.178,0.178,0.209
185,0.187,0.193,0.223
186,0.184,0.184,0.211
187,0.178,0.182,0.207
188,0.185,0.184,0.213
189,0.187,0.19,0.22
190,0.184,0.184,0.213
191,0.187,0.187,0.217
192,0.183,0.181,0.208
193,0.186,0.185,0.216
194,0.187,0.195,0.223
195,0.184,0.182,0.212
196,0.184,0.185,0.215
197,0.179,0.181,0.208
198,0.182,0.184,0.215
199,0.177,0.181,0.207
200,0.18,0.181,0.207
201,0.186,0.191,0.22
202,0.182,0.182,0.213
203,0.179,0.177,0.207
204,0.188,0.189,0.217
205,0.189,0.187,0.218
206,0.189,0.188,0.221
207,0.178,0.183,0.21
208,0.183,0.185,0.215
209,0.184,0.182,0.215
210,0.189,0.185,0.218
211,0.178,0.182,0.209
212,0.181,0.182,0.211
213,0.18,0.184,0.213
214,0.182,0.183,0.212
215,0.184,0.188,0.217
216,0.186,0.188,0.218
217,0.192,0.189,0.219
218,0.181,0.185,0.214
219,0.182,0.184,0.214
220,0.188,0.19,0.219
221,0.189,0.19,0.219
222,0.185,0.189,0.217
223,0.186,0.182,0.213
224,0.182,0.183,0.213
225,0.184,0.185,0.214
226,0.184,0.185,0.215
227,0.18,0.188,0.214
228,0.176,0.175,0.207
229,0.187,0.185,0.216
230,0.181,0.181,0.21
231,0.185,0.186,0.215
232,0.184,0.185,0.213
233,0.177,0.182,0.211
234,0.185,0.182,0.212
235,0.173,0.18,0.208
236,0.18,0.183,0.211
237,0.182,0.183,0.212
238,0.187,0.185,0.216
239,0.182,0.187,0.216
240,0.185,0.186,0.215
241,0.187,0.187,0.219
242,0.182,0.184,0.214
243,0.188,0.189,0.218
244,0.179,0.185,0.211
245,0.182,0.187,0.213
246,0.179,0.184,0.213
247,0.179,0.184,0.214
248,0.184,0.189,0.217
249,0.185,0.187,0.215
250,0.18,0.18,0.208
251,0.177,0.177,0.208
252,0.188,0.189,0.22
253,0.189,0.195,0.224
254,0.181,0.181,0.212
255,0.182,0.188,0.213
256,0.185,0.185,0.214
257,0.185,0.189,0.218
258,0.189,0.19,0.216
259,0.189,0.191,0.219
260,0.178,0.181,0.209
261,0.177,0.177,0.205
262,0.181,0.183,0.211
263,0.184,0.181,0.211
264,0.183,0.182,0.211
265,0.184,0.189,0.219
266,0.186,0.183,0.214
267,0.185,0.186,0.214
268,0.186,0.184,0.217
269,0.181,0.179,0.21
270,0.18,0.183,0.21
271,0.182,0.183,0.212
272,0.18,0.18,0.208
273,0.182,0.182,0.214
274,0.182,0.185,0.215
275,0.179,0.185,0.212
276,0.181,0.182,0.208
277,0.184,0.184,0.218
278,0.184,0.184,0.215
279,0.184,0.183,0.211
280,0.176,0.177,0.205
281,0.181,0.185,0.212
282,0.179,0.18,0.212
283,0.189,0.188,0.218
284,0.186,0.186,0.217
285,0.182,0.183,0.21
286,0.192,0.184,0.218
287,0.183,0.185,0.213
288,0.188,0.186,0.217
289,0.185,0.188,0.214
290,0.183,0.185,0.213
291,0.182,0.184,0.214
292,0.181,0.182,0.213
293,0.188,0.189,0.217
294,0.183,0.184,0.214
295,0.181,0.182,0.212
296,0.189,0.186,0.217
297,0.19,0.187,0.219
298,0.182,0.188,0.213
299,0.181,0.182,0.211
300,0.189,0.19,0.216
301,0.182,0.18,0.21
302,0.184,0.183,0.214
303,0.185,0.186,0.215
304,0.184,0.188,0.218
305,0.186,0.188,0.22
306,0.19,0.188,0.22
307,0.185,0.184,0.215
308,0.18,0.183,0.211
309,0.181,0.18,0.207
310,0.186,0.19,0.217
311,0.178,0.185,0.212
