,MRA,base3
0,0.182,0.169
1,0.18,0.165
2,0.183,0.167
3,0.184,0.167
4,0.186,0.17
5,0.18,0.168
6,0.182,0.167
7,0.188,0.168
8,0.178,0.163
9,0.182,0.164
10,0.187,0.167
11,0.176,0.164
12,0.182,0.168
13,0.185,0.165
14,0.184,0.169
15,0.192,0.174
16,0.181,0.164
17,0.175,0.16
18,0.193,0.168
19,0.182,0.163
20,0.182,0.164
21,0.179,0.162
22,0.183,0.171
23,0.18,0.164
24,0.187,0.17
25,0.182,0.166
26,0.182,0.166
27,0.183,0.171
28,0.194,0.174
29,0.179,0.163
30,0.19,0.166
31,0.188,0.171
32,0.18,0.164
33,0.185,0.169
34,0.182,0.167
35,0.187,0.172
36,0.185,0.167
37,0.188,0.169
38,0.183,0.166
39,0.187,0.171
40,0.183,0.167
41,0.178,0.163
42,0.181,0.167
43,0.186,0.168
44,0.176,0.162
45,0.19,0.171
46,0.177,0.166
47,0.191,0.17
48,0.182,0.168
49,0.184,0.17
50,0.186,0.171
51,0.19,0.173
52,0.185,0.166
53,0.186,0.165
54,0.185,0.166
55,0.182,0.17
56,0.184,0.169
57,0.183,0.163
58,0.181,0.165
59,0.181,0.168
60,0.189,0.173
61,0.183,0.166
62,0.177,0.164
63,0.181,0.165
64,0.187,0.166
65,0.176,0.163
66,0.184,0.163
67,0.182,0.167
68,0.188,0.166
69,0.188,0.173
70,0.187,0.171
71,0.18,0.164
72,0.182,0.164
73,0.183,0.167
74,0.184,0.17
75,0.187,0.171
76,0.177,0.164
77,0.189,0.171
78,0.175,0.161
79,0.181,0.164
80,0.184,0.164
81,0.182,0.171
82,0.18,0.165
83,0.18,0.162
84,0.185,0.168
85,0.185,0.171
86,0.18,0.163
87,0.182,0.169
88,0.184,0.168
89,0.184,0.166
90,0.189,0.169
91,0.19,0.169
92,0.172,0.162
93,0.184,0.169
94,0.184,0.168
95,0.181,0.167
96,0.178,0.167
97,0.178,0.163
98,0.175,0.162
99,0.191,0.173
100,0.182,0.166
101,0.185,0.167
102,0.18,0.157
103,0.181,0.167
104,0.186,0.168
105,0.184,0.168
106,0.184,0.169
107,0.18,0.161
108,0.177,0.166
109,0.183,0.164
110,0.182,0.169
111,0.185,0.17
112,0.184,0.168
113,0.181,0.169
114,0.18,0.167
115,0.183,0.169
116,0.179,0.165
117,0.176,0.16
118,0.18,0.168
119,0.187,0.171
120,0.181,0.168
121,0.178,0.167
122,0.174,0.163
123,0.19,0.17
124,0.189,0.172
125,0.177,0.161
126,0.181,0.161
127,0.186,0.171
128,0.179,0.16
129,0.185,0.17
130,0.191,0.174
131,0.178,0.163
132,0.178,0.161
133,0.177,0.167
134,0.178,0.163
135,0.185,0.17
136,0.184,0.166
137,0.185,0.168
138,0.181,0.166
139,0.191,0.169
140,0.184,0.167
141,0.178,0.161
142,0.176,0.163
143,0.186,0.165
144,0.182,0.166
145,0.189,0.171
146,0.185,0.169
147,0.184,0.163
148,0.186,0.171
149,0.186,0.173
150,0.178,0.168
151,0.189,0.167
152,0.186,0.169
153,0.182,0.167
154,0.185,0.167
155,0.184,0.169
156,0.182,0.164
157,0.187,0.163
158,0.185,0.17
159,0.185,0.169
160,0.184,0.165
161,0.184,0.165
162,0.182,0.17
163,0.189,0.173
164,0.179,0.169
165,0.188,0.17
166,0.187,0.171
167,0.183,0.174
168,0.185,0.167
169,0.18,0.164
170,0.187,0.168
171,0.18,0.163
172,0.184,0.17
173,0.179,0.167
174,0.18,0.162
175,0.186,0.171
176,0.183,0.17
177,0.184,0.168
178,0.179,0.166
179,0.182,0.167
180,0.185,0.168
181,0.188,0.169
182,0.193,0.174
183,0.176,0.165
184,0.186,0.169
185,0.185,0.168
186,0.18,0.16
187,0.185,0.168
188,0.181,0.168
189,0.179,0.164
190,0.185,0.166
191,0.186,0.175
192,0.183,0.163
193,0.183,0.17
194,0.18,0.164
195,0.184,0.166
196,0.178,0.166
197,0.181,0.161
198,0.174,0.163
199,0.173,0.157
200,0.184,0.165
201,0.19,0.174
202,0.182,0.164
203,0.181,0.165
204,0.178,0.163
205,0.182,0.166
206,0.182,0.167
207,0.18,0.167
208,0.182,0.165
209,0.177,0.166
210,0.189,0.169
211,0.192,0.175
212,0.189,0.168
213,0.18,0.167
214,0.188,0.174
215,0.187,0.171
216,0.186,0.169
217,0.188,0.171
218,0.183,0.167
219,0.176,0.16
220,0.182,0.165
221,0.183,0.168
222,0.186,0.163
223,0.186,0.17
224,0.191,0.171
225,0.189,0.169
226,0.186,0.168
227,0.181,0.166
228,0.183,0.166
229,0.185,0.168
230,0.185,0.171
231,0.188,0.168
232,0.187,0.171
233,0.181,0.17
234,0.188,0.173
235,0.185,0.165
236,0.186,0.169
237,0.182,0.164
238,0.183,0.167
239,0.182,0.167
240,0.182,0.164
241,0.18,0.166
242,0.189,0.171
243,0.179,0.161
244,0.186,0.168
245,0.181,0.164
246,0.189,0.172
247,0.182,0.167
248,0.178,0.165
249,0.179,0.164
250,0.182,0.165
251,0.186,0.168
252,0.18,0.166
253,0.184,0.166
254,0.186,0.17
255,0.185,0.167
256,0.182,0.163
257,0.186,0.169
258,0.188,0.172
259,0.185,0.17
260,0.182,0.168
261,0.193,0.175
262,0.184,0.165
263,0.185,0.17
264,0.186,0.167
265,0.177,0.163
266,0.191,0.174
267,0.193,0.175
268,0.183,0.169
269,0.183,0.17
270,0.187,0.168
271,0.178,0.159
272,0.186,0.169
273,0.179,0.165
274,0.183,0.166
275,0.18,0.161
276,0.186,0.161
277,0.183,0.165
278,0.183,0.169
279,0.184,0.169
280,0.179,0.163
281,0.177,0.161
282,0.183,0.164
283,0.182,0.168
284,0.181,0.163
285,0.179,0.163
286,0.186,0.17
287,0.186,0.172
288,0.183,0.166
289,0.182,0.167
290,0.19,0.169
291,0.185,0.166
292,0.18,0.163
293,0.182,0.168
294,0.188,0.171
295,0.182,0.165
296,0.182,0.166
297,0.183,0.165
298,0.184,0.166
299,0.181,0.167
300,0.179,0.167
301,0.171,0.16
302,0.179,0.162
303,0.182,0.163
304,0.181,0.163
305,0.187,0.171
306,0.185,0.168
307,0.184,0.162
308,0.188,0.171
309,0.184,0.167
310,0.174,0.162
311,0.184,0.169
312,0.184,0.167
313,0.188,0.169
314,0.185,0.164
315,0.184,0.169
316,0.181,0.166
317,0.18,0.164
318,0.181,0.163
319,0.185,0.167
320,0.183,0.17
321,0.178,0.163
322,0.182,0.165
323,0.183,0.167
324,0.185,0.168
325,0.177,0.163
326,0.182,0.166
327,0.18,0.164
328,0.184,0.167
329,0.186,0.168
330,0.182,0.172
331,0.182,0.164
332,0.184,0.168
333,0.186,0.17
334,0.174,0.164
335,0.183,0.163
336,0.185,0.165
337,0.182,0.168
338,0.183,0.168
339,0.175,0.166
340,0.184,0.17
341,0.181,0.165
342,0.186,0.169
343,0.182,0.168
344,0.181,0.165
345,0.184,0.166
346,0.181,0.164
347,0.19,0.172
348,0.182,0.166
349,0.18,0.165
350,0.183,0.167
351,0.188,0.171
352,0.181,0.168
353,0.178,0.163
354,0.184,0.17
355,0.186,0.172
356,0.179,0.161
357,0.189,0.171
358,0.18,0.169
359,0.182,0.164
360,0.183,0.166
361,0.179,0.162
362,0.182,0.171
363,0.179,0.167
364,0.183,0.166
365,0.187,0.172
366,0.18,0.168
367,0.187,0.169
368,0.182,0.168
369,0.182,0.166
370,0.184,0.168
371,0.182,0.168
372,0.184,0.165
373,0.184,0.163
374,0.185,0.166
375,0.181,0.166
376,0.185,0.165
377,0.179,0.166
378,0.188,0.173
379,0.185,0.167
380,0.189,0.172
381,0.189,0.168
382,0.183,0.162
383,0.182,0.163
384,0.181,0.168
385,0.178,0.167
386,0.178,0.167
387,0.179,0.167
388,0.184,0.169
389,0.175,0.158
390,0.177,0.161
391,0.185,0.169
392,0.18,0.165
393,0.184,0.168
394,0.183,0.17
395,0.191,0.17
396,0.184,0.17
397,0.18,0.166
398,0.182,0.163
399,0.182,0.168
400,0.18,0.167
401,0.18,0.165
402,0.191,0.171
403,0.175,0.164
404,0.187,0.166
405,0.191,0.171
406,0.183,0.169
407,0.18,0.166
408,0.185,0.165
409,0.18,0.167
410,0.186,0.168
411,0.183,0.169
412,0.186,0.166
413,0.184,0.171
414,0.179,0.164
415,0.18,0.166
416,0.183,0.167
417,0.181,0.163
418,0.181,0.17
419,0.185,0.169
420,0.182,0.17
421,0.187,0.172
422,0.18,0.165
423,0.183,0.161
424,0.178,0.164
425,0.179,0.158
426,0.184,0.166
427,0.186,0.167
428,0.176,0.16
429,0.175,0.159
430,0.181,0.165
431,0.184,0.166
432,0.175,0.16
433,0.184,0.164
434,0.18,0.165
435,0.188,0.17
436,0.184,0.164
437,0.189,0.172
438,0.183,0.164
