,SAT,base,base2
0,0.159,0.179,0.209
1,0.174,0.197,0.23
2,0.156,0.181,0.209
3,0.157,0.182,0.21
4,0.16,0.18,0.211
5,0.153,0.179,0.207
6,0.153,0.184,0.211
7,0.164,0.191,0.22
8,0.162,0.186,0.215
9,0.16,0.185,0.215
10,0.16,0.182,0.213
11,0.16,0.181,0.21
12,0.159,0.18,0.21
13,0.163,0.185,0.215
14,0.155,0.18,0.211
15,0.159,0.18,0.21
16,0.158,0.18,0.21
17,0.164,0.184,0.214
18,0.157,0.179,0.213
19,0.161,0.183,0.214
20,0.156,0.178,0.204
21,0.162,0.185,0.212
22,0.162,0.184,0.214
23,0.163,0.184,0.216
24,0.166,0.183,0.212
25,0.159,0.182,0.211
26,0.159,0.182,0.212
27,0.162,0.185,0.215
28,0.163,0.184,0.215
29,0.159,0.181,0.211
30,0.157,0.177,0.208
31,0.155,0.177,0.206
32,0.156,0.183,0.212
33,0.166,0.187,0.217
34,0.163,0.185,0.213
35,0.162,0.185,0.212
36,0.162,0.184,0.214
37,0.164,0.185,0.213
38,0.156,0.178,0.208
39,0.163,0.188,0.217
40,0.16,0.19,0.219
41,0.161,0.186,0.216
42,0.163,0.188,0.218
43,0.163,0.185,0.215
44,0.162,0.181,0.212
45,0.158,0.185,0.212
46,0.161,0.185,0.214
47,0.158,0.186,0.216
48,0.159,0.186,0.212
49,0.163,0.185,0.212
50,0.157,0.179,0.209
51,0.168,0.192,0.223
52,0.159,0.181,0.21
53,0.161,0.183,0.214
54,0.159,0.185,0.215
55,0.168,0.187,0.215
56,0.157,0.185,0.215
57,0.159,0.189,0.217
58,0.16,0.186,0.213
59,0.156,0.18,0.21
60,0.152,0.182,0.211
61,0.171,0.195,0.226
62,0.162,0.189,0.218
63,0.16,0.182,0.21
64,0.154,0.177,0.208
65,0.165,0.18,0.21
66,0.158,0.182,0.213
67,0.166,0.183,0.214
68,0.158,0.184,0.212
69,0.158,0.178,0.211
70,0.156,0.183,0.213
71,0.157,0.179,0.209
72,0.16,0.183,0.213
73,0.163,0.19,0.219
74,0.162,0.189,0.219
75,0.167,0.19,0.218
76,0.155,0.18,0.209
77,0.164,0.183,0.211
78,0.161,0.186,0.216
79,0.158,0.188,0.216
80,0.162,0.192,0.217
