,SAT_bleu,base3_bleu
0,0.344,0.337
1,0.343,0.341
2,0.328,0.346
3,0.323,0.338
4,0.348,0.343
5,0.328,0.348
6,0.339,0.333
7,0.339,0.347
8,0.342,0.342
9,0.337,0.338
10,0.33,0.336
11,0.345,0.335
12,0.325,0.348
13,0.343,0.346
14,0.322,0.343
15,0.351,0.343
16,0.345,0.346
17,0.347,0.336
18,0.337,0.343
19,0.346,0.345
20,0.332,0.346
21,0.325,0.342
22,0.322,0.342
23,0.315,0.339
24,0.339,0.342
25,0.313,0.342
26,0.34,0.342
27,0.328,0.342
28,0.324,0.345
29,0.351,0.339
30,0.332,0.341
31,0.351,0.345
32,0.32,0.345
33,0.35,0.344
34,0.338,0.341
35,0.35,0.339
36,0.34,0.342
37,0.322,0.339
38,0.347,0.334
39,0.338,0.334
40,0.342,0.343
41,0.33,0.35
42,0.35,0.35
43,0.324,0.342
44,0.331,0.342
45,0.344,0.342
46,0.331,0.343
47,0.323,0.344
48,0.328,0.345
49,0.323,0.342
50,0.328,0.342
51,0.324,0.339
52,0.342,0.337
53,0.348,0.344
54,0.344,0.339
55,0.339,0.346
56,0.328,0.334
57,0.335,0.34
58,0.332,0.347
59,0.331,0.336
60,0.34,0.344
61,0.333,0.337
62,0.348,0.338
63,0.351,0.351
64,0.32,0.344
65,0.344,0.339
66,0.356,0.334
67,0.337,0.341
68,0.338,0.34
69,0.342,0.341
70,0.34,0.336
71,0.321,0.351
72,0.314,0.342
73,0.335,0.342
74,0.323,0.34
75,0.323,0.347
76,0.326,0.345
77,0.343,0.338
78,0.354,0.342
79,0.327,0.339
80,0.334,0.336
81,0.325,0.344
82,0.326,0.34
83,0.338,0.344
84,0.341,0.336
85,0.331,0.345
86,0.334,0.342
87,0.338,0.343
88,0.339,0.344
89,0.332,0.345
90,0.35,0.335
91,0.327,0.344
92,0.339,0.338
93,0.331,0.344
94,0.309,0.346
95,0.338,0.345
96,0.346,0.343
97,0.345,0.335
98,0.36,0.34
99,0.329,0.34
100,0.328,0.339
101,0.323,0.344
102,0.347,0.346
103,0.339,0.338
104,0.33,0.346
105,0.343,0.337
106,0.324,0.338
107,0.345,0.34
108,0.335,0.339
109,0.343,0.344
110,0.334,0.344
111,0.344,0.345
112,0.35,0.341
113,0.336,0.345
114,0.332,0.341
115,0.344,0.346
116,0.323,0.347
117,0.34,0.347
118,0.348,0.345
119,0.341,0.347
120,0.327,0.346
121,0.338,0.342
122,0.335,0.334
123,0.325,0.346
124,0.356,0.335
125,0.345,0.341
126,0.338,0.339
127,0.318,0.346
128,0.326,0.339
129,0.314,0.345
130,0.344,0.342
131,0.327,0.34
132,0.341,0.333
133,0.339,0.341
134,0.343,0.33
135,0.34,0.343
136,0.344,0.335
137,0.328,0.341
138,0.321,0.348
139,0.342,0.34
140,0.335,0.34
141,0.331,0.342
142,0.345,0.349
143,0.347,0.345
144,0.332,0.343
145,0.361,0.341
146,0.346,0.336
147,0.346,0.351
148,0.334,0.35
149,0.333,0.339
150,0.338,0.342
151,0.324,0.347
152,0.336,0.343
153,0.342,0.343
154,0.326,0.35
155,0.332,0.343
156,0.352,0.344
157,0.334,0.333
158,0.32,0.342
159,0.333,0.342
160,0.35,0.343
161,0.345,0.34
162,0.337,0.341
163,0.332,0.339
164,0.32,0.342
165,0.319,0.344
166,0.354,0.349
167,0.328,0.338
168,0.348,0.349
169,0.347,0.344
170,0.32,0.341
171,0.333,0.345
172,0.341,0.341
173,0.321,0.345
174,0.339,0.351
175,0.332,0.346
176,0.341,0.344
177,0.323,0.346
178,0.33,0.347
179,0.343,0.343
180,0.343,0.338
181,0.33,0.34
182,0.352,0.343
183,0.337,0.346
184,0.329,0.338
185,0.341,0.334
186,0.332,0.338
187,0.333,0.341
188,0.329,0.339
189,0.348,0.342
190,0.339,0.338
191,0.343,0.346
192,0.342,0.344
193,0.332,0.343
194,0.34,0.341
195,0.324,0.34
196,0.325,0.335
197,0.352,0.342
198,0.348,0.336
199,0.326,0.342
200,0.339,0.346
201,0.346,0.342
202,0.344,0.336
203,0.325,0.339
204,0.335,0.335
205,0.327,0.343
206,0.343,0.345
207,0.342,0.332
208,0.327,0.338
209,0.332,0.344
210,0.334,0.349
211,0.317,0.352
212,0.331,0.341
213,0.341,0.341
214,0.342,0.336
215,0.345,0.342
216,0.354,0.344
217,0.312,0.341
218,0.339,0.343
219,0.343,0.34
220,0.332,0.341
221,0.344,0.337
222,0.352,0.34
223,0.347,0.332
224,0.33,0.345
225,0.326,0.339
226,0.354,0.346
227,0.335,0.344
228,0.326,0.347
229,0.345,0.342
230,0.333,0.335
231,0.343,0.343
232,0.321,0.339
233,0.343,0.341
234,0.33,0.342
235,0.338,0.35
236,0.336,0.343
237,0.33,0.34
238,0.341,0.332
239,0.334,0.351
240,0.327,0.344
241,0.333,0.351
242,0.335,0.345
243,0.33,0.346
244,0.326,0.346
245,0.343,0.347
246,0.345,0.343
247,0.344,0.335
248,0.353,0.342
249,0.338,0.34
250,0.345,0.344
251,0.333,0.348
252,0.31,0.345
253,0.34,0.343
254,0.342,0.342
255,0.353,0.334
256,0.326,0.345
257,0.331,0.34
258,0.327,0.345
259,0.355,0.341
260,0.335,0.347
261,0.347,0.34
262,0.353,0.344
263,0.345,0.346
264,0.351,0.339
265,0.364,0.336
266,0.329,0.345
267,0.337,0.344
268,0.341,0.344
269,0.349,0.351
270,0.329,0.338
271,0.346,0.352
272,0.312,0.348
273,0.346,0.339
274,0.334,0.342
275,0.332,0.353
276,0.34,0.349
277,0.325,0.335
278,0.347,0.341
279,0.341,0.34
280,0.332,0.342
281,0.348,0.338
282,0.347,0.339
283,0.332,0.342
284,0.326,0.344
285,0.327,0.345
286,0.338,0.343
287,0.337,0.351
288,0.341,0.341
289,0.351,0.338
290,0.351,0.341
291,0.349,0.348
292,0.342,0.334
293,0.33,0.349
294,0.336,0.347
295,0.341,0.348
296,0.327,0.343
297,0.325,0.346
298,0.334,0.34
299,0.347,0.34
300,0.339,0.349
301,0.344,0.34
302,0.334,0.339
303,0.327,0.339
304,0.321,0.343
305,0.333,0.339
306,0.33,0.344
307,0.328,0.348
308,0.346,0.342
309,0.338,0.336
310,0.321,0.342
311,0.33,0.344
312,0.336,0.336
313,0.347,0.343
314,0.334,0.337
315,0.324,0.339
316,0.337,0.344
317,0.354,0.345
318,0.333,0.337
319,0.338,0.346
320,0.329,0.345
321,0.338,0.346
322,0.345,0.35
323,0.345,0.343
324,0.338,0.337
325,0.341,0.339
326,0.346,0.346
327,0.337,0.344
328,0.359,0.344
329,0.331,0.345
330,0.355,0.345
331,0.323,0.338
332,0.33,0.344
333,0.336,0.342
334,0.332,0.334
335,0.335,0.343
336,0.332,0.341
337,0.321,0.349
338,0.344,0.334
339,0.34,0.333
340,0.329,0.342
341,0.335,0.347
342,0.319,0.342
343,0.339,0.341
344,0.342,0.345
345,0.337,0.348
346,0.337,0.344
347,0.32,0.342
348,0.325,0.348
349,0.335,0.341
350,0.346,0.346
351,0.344,0.343
352,0.327,0.334
353,0.32,0.341
354,0.327,0.343
355,0.325,0.347
356,0.339,0.348
357,0.334,0.347
358,0.33,0.343
359,0.343,0.343
360,0.356,0.343
361,0.329,0.351
362,0.342,0.337
363,0.335,0.348
364,0.339,0.34
365,0.345,0.343
366,0.336,0.337
367,0.344,0.344
368,0.343,0.336
369,0.343,0.345
370,0.336,0.344
371,0.337,0.346
372,0.341,0.336
373,0.335,0.336
374,0.331,0.34
375,0.332,0.337
376,0.334,0.337
377,0.332,0.338
378,0.353,0.345
379,0.334,0.337
380,0.329,0.336
381,0.347,0.341
382,0.329,0.343
383,0.345,0.339
384,0.33,0.341
385,0.336,0.342
386,0.344,0.347
387,0.321,0.342
388,0.343,0.335
389,0.328,0.339
390,0.34,0.339
391,0.326,0.34
392,0.343,0.353
393,0.337,0.342
394,0.336,0.347
395,0.341,0.344
396,0.346,0.352
397,0.345,0.343
398,0.34,0.342
399,0.335,0.339
400,0.34,0.336
401,0.345,0.347
402,0.333,0.338
403,0.343,0.347
404,0.334,0.344
405,0.352,0.338
406,0.341,0.346
407,0.319,0.333
408,0.322,0.343
