,SAT_bleu,base3_bleu
0,0.323,0.342
1,0.324,0.338
2,0.322,0.336
3,0.331,0.333
4,0.342,0.34
5,0.349,0.34
6,0.33,0.352
7,0.336,0.339
8,0.34,0.342
9,0.333,0.335
10,0.335,0.339
11,0.328,0.34
12,0.317,0.345
13,0.318,0.352
14,0.327,0.343
15,0.329,0.337
16,0.341,0.341
17,0.337,0.346
18,0.323,0.343
19,0.342,0.342
20,0.337,0.339
21,0.32,0.344
22,0.325,0.341
23,0.348,0.341
24,0.329,0.347
25,0.327,0.346
26,0.339,0.349
27,0.332,0.339
28,0.331,0.346
29,0.34,0.337
30,0.332,0.334
31,0.327,0.346
32,0.32,0.346
33,0.329,0.348
34,0.334,0.342
35,0.349,0.339
36,0.323,0.341
37,0.342,0.345
38,0.337,0.342
39,0.332,0.348
40,0.343,0.337
41,0.339,0.342
42,0.327,0.341
43,0.34,0.344
44,0.354,0.338
45,0.322,0.344
46,0.334,0.346
47,0.327,0.344
48,0.334,0.341
49,0.321,0.35
50,0.332,0.344
51,0.342,0.345
52,0.325,0.339
53,0.313,0.343
54,0.355,0.342
55,0.327,0.341
56,0.339,0.341
57,0.339,0.343
58,0.335,0.345
59,0.325,0.336
60,0.333,0.331
61,0.345,0.34
62,0.327,0.338
63,0.332,0.349
64,0.343,0.335
65,0.331,0.335
66,0.331,0.343
67,0.328,0.337
68,0.332,0.34
69,0.344,0.347
70,0.352,0.336
71,0.334,0.345
72,0.334,0.342
73,0.325,0.345
74,0.325,0.342
75,0.342,0.351
76,0.323,0.344
77,0.317,0.348
78,0.339,0.338
79,0.331,0.34
80,0.338,0.336
81,0.339,0.34
82,0.321,0.344
83,0.338,0.344
84,0.329,0.354
85,0.344,0.342
86,0.352,0.338
87,0.324,0.353
88,0.342,0.344
89,0.333,0.339
90,0.332,0.342
91,0.351,0.348
92,0.335,0.34
93,0.341,0.343
94,0.335,0.34
95,0.342,0.343
96,0.339,0.334
97,0.326,0.347
98,0.33,0.344
99,0.331,0.349
100,0.331,0.343
101,0.332,0.347
102,0.322,0.344
103,0.317,0.332
104,0.33,0.342
105,0.354,0.341
106,0.33,0.348
107,0.333,0.341
108,0.332,0.337
109,0.324,0.338
110,0.331,0.344
111,0.323,0.341
112,0.326,0.34
113,0.313,0.345
114,0.322,0.341
115,0.327,0.347
116,0.327,0.338
117,0.347,0.342
118,0.321,0.343
119,0.324,0.342
120,0.329,0.34
121,0.347,0.345
122,0.342,0.339
123,0.326,0.345
124,0.319,0.34
125,0.329,0.346
126,0.317,0.343
127,0.327,0.35
128,0.343,0.342
129,0.329,0.35
130,0.333,0.347
131,0.331,0.343
132,0.345,0.342
133,0.335,0.343
134,0.323,0.343
135,0.337,0.343
136,0.315,0.343
137,0.336,0.344
138,0.343,0.336
139,0.328,0.349
140,0.327,0.343
141,0.343,0.336
142,0.334,0.347
143,0.326,0.349
144,0.323,0.34
145,0.334,0.344
146,0.336,0.338
147,0.339,0.346
148,0.344,0.343
149,0.32,0.341
150,0.327,0.341
151,0.32,0.334
152,0.329,0.341
153,0.344,0.338
154,0.342,0.334
155,0.342,0.341
156,0.342,0.338
157,0.313,0.336
158,0.328,0.346
159,0.324,0.34
160,0.315,0.343
161,0.352,0.346
162,0.316,0.345
163,0.329,0.342
164,0.35,0.348
165,0.34,0.337
166,0.342,0.342
167,0.33,0.341
168,0.338,0.34
169,0.337,0.336
170,0.324,0.348
171,0.349,0.342
172,0.321,0.341
173,0.336,0.346
174,0.337,0.344
175,0.335,0.342
176,0.343,0.34
177,0.329,0.345
178,0.352,0.341
179,0.341,0.344
180,0.337,0.337
181,0.331,0.341
182,0.313,0.338
183,0.315,0.347
184,0.332,0.347
185,0.34,0.339
186,0.322,0.342
187,0.337,0.344
188,0.336,0.345
189,0.344,0.341
190,0.34,0.348
191,0.34,0.343
192,0.315,0.348
193,0.329,0.332
194,0.323,0.339
195,0.363,0.337
196,0.327,0.345
197,0.33,0.354
198,0.345,0.339
199,0.332,0.34
200,0.318,0.339
201,0.343,0.342
202,0.336,0.341
203,0.328,0.338
204,0.336,0.337
205,0.332,0.345
206,0.326,0.342
207,0.329,0.341
208,0.321,0.349
209,0.334,0.348
210,0.326,0.341
211,0.34,0.342
212,0.338,0.343
213,0.331,0.348
214,0.327,0.351
215,0.332,0.342
216,0.345,0.344
217,0.338,0.337
218,0.333,0.344
219,0.328,0.344
220,0.346,0.338
221,0.319,0.347
222,0.338,0.348
223,0.327,0.348
224,0.349,0.34
225,0.33,0.355
226,0.338,0.336
227,0.326,0.346
228,0.342,0.345
229,0.345,0.343
230,0.333,0.335
231,0.337,0.342
232,0.336,0.345
233,0.333,0.346
234,0.343,0.341
235,0.329,0.342
236,0.339,0.345
237,0.31,0.343
238,0.327,0.343
239,0.317,0.348
240,0.323,0.353
241,0.331,0.348
242,0.333,0.34
243,0.317,0.342
244,0.331,0.336
245,0.334,0.344
246,0.337,0.348
247,0.319,0.335
248,0.316,0.336
249,0.321,0.338
250,0.334,0.343
251,0.331,0.342
252,0.333,0.346
253,0.332,0.346
254,0.333,0.352
255,0.318,0.344
256,0.337,0.341
257,0.342,0.336
258,0.346,0.339
259,0.342,0.34
260,0.325,0.337
261,0.346,0.345
262,0.339,0.343
263,0.333,0.339
264,0.333,0.337
265,0.329,0.341
266,0.34,0.342
267,0.331,0.342
268,0.324,0.346
269,0.339,0.342
270,0.333,0.347
271,0.338,0.345
272,0.322,0.335
273,0.336,0.343
274,0.331,0.339
275,0.333,0.34
276,0.329,0.343
277,0.323,0.336
278,0.322,0.346
279,0.332,0.344
280,0.32,0.34
281,0.353,0.337
282,0.326,0.337
283,0.334,0.341
284,0.342,0.343
285,0.333,0.335
286,0.343,0.345
287,0.347,0.348
288,0.332,0.351
289,0.333,0.343
290,0.33,0.344
291,0.342,0.337
292,0.332,0.351
293,0.332,0.329
294,0.343,0.341
295,0.321,0.34
296,0.328,0.342
297,0.34,0.344
298,0.324,0.341
299,0.329,0.337
300,0.321,0.341
301,0.334,0.345
302,0.331,0.333
303,0.349,0.332
304,0.325,0.339
305,0.332,0.348
306,0.345,0.34
307,0.325,0.351
308,0.327,0.339
309,0.323,0.346
310,0.337,0.337
311,0.327,0.341
312,0.325,0.348
313,0.323,0.349
314,0.325,0.336
315,0.333,0.353
316,0.329,0.337
317,0.354,0.347
318,0.324,0.341
319,0.325,0.348
320,0.332,0.345
321,0.317,0.333
322,0.325,0.335
323,0.342,0.347
324,0.327,0.343
325,0.333,0.342
326,0.32,0.349
327,0.326,0.338
328,0.321,0.342
329,0.317,0.332
330,0.323,0.346
331,0.327,0.342
332,0.325,0.343
333,0.335,0.342
334,0.334,0.34
335,0.335,0.337
336,0.334,0.341
337,0.329,0.341
338,0.316,0.35
339,0.339,0.346
340,0.333,0.345
341,0.33,0.339
342,0.317,0.342
343,0.338,0.335
344,0.315,0.347
345,0.32,0.352
346,0.323,0.344
347,0.33,0.345
348,0.321,0.348
349,0.329,0.344
350,0.334,0.344
351,0.321,0.342
352,0.34,0.341
353,0.317,0.345
354,0.332,0.334
355,0.328,0.343
356,0.336,0.345
357,0.335,0.336
358,0.332,0.342
359,0.342,0.34
360,0.326,0.345
361,0.333,0.346
362,0.331,0.351
363,0.322,0.342
364,0.34,0.346
365,0.33,0.347
366,0.33,0.347
367,0.339,0.345
368,0.339,0.342
369,0.316,0.344
370,0.311,0.347
371,0.339,0.347
372,0.321,0.34
373,0.342,0.341
374,0.348,0.341
375,0.326,0.345
376,0.328,0.348
377,0.322,0.339
378,0.337,0.347
379,0.35,0.348
380,0.341,0.335
381,0.342,0.345
382,0.328,0.356
383,0.33,0.349
384,0.337,0.337
385,0.351,0.328
386,0.326,0.341
387,0.334,0.336
388,0.322,0.342
389,0.347,0.35
390,0.339,0.345
391,0.332,0.342
392,0.348,0.339
393,0.328,0.344
394,0.338,0.334
395,0.335,0.345
396,0.333,0.347
397,0.32,0.343
398,0.323,0.338
399,0.324,0.342
400,0.354,0.341
401,0.337,0.345
402,0.332,0.344
403,0.336,0.343
404,0.336,0.339
405,0.337,0.339
406,0.335,0.342
407,0.336,0.35
408,0.332,0.347
409,0.332,0.332
410,0.318,0.338
411,0.343,0.338
412,0.321,0.344
413,0.338,0.337
414,0.336,0.345
415,0.322,0.347
416,0.321,0.344
417,0.326,0.343
418,0.334,0.351
419,0.336,0.34
420,0.328,0.341
421,0.33,0.342
422,0.343,0.343
423,0.351,0.35
424,0.329,0.345
425,0.337,0.34
426,0.324,0.34
427,0.338,0.356
428,0.302,0.341
429,0.333,0.342
430,0.329,0.341
431,0.322,0.348
432,0.322,0.341
433,0.344,0.341
434,0.337,0.344
435,0.337,0.338
436,0.337,0.34
437,0.325,0.338
438,0.332,0.343
439,0.322,0.343
440,0.347,0.342
441,0.336,0.345
442,0.342,0.346
443,0.329,0.341
444,0.334,0.348
445,0.332,0.337
446,0.334,0.337
447,0.326,0.334
448,0.332,0.341
449,0.337,0.337
450,0.332,0.347
451,0.332,0.343
452,0.321,0.345
453,0.324,0.339
454,0.338,0.343
455,0.31,0.341
456,0.326,0.342
457,0.324,0.346
458,0.344,0.352
459,0.347,0.346
460,0.329,0.34
461,0.329,0.348
462,0.327,0.342
463,0.326,0.342
464,0.326,0.34
465,0.318,0.35
466,0.326,0.342
467,0.34,0.348
468,0.35,0.352
469,0.329,0.336
470,0.327,0.348
471,0.333,0.342
472,0.319,0.342
473,0.337,0.341
474,0.34,0.339
475,0.326,0.344
476,0.341,0.337
477,0.339,0.348
478,0.339,0.344
479,0.335,0.343
480,0.335,0.342
481,0.334,0.338
482,0.315,0.346
483,0.34,0.343
484,0.33,0.339
485,0.345,0.341
486,0.331,0.345
487,0.329,0.34
488,0.328,0.347
489,0.337,0.34
490,0.337,0.341
491,0.338,0.353
492,0.331,0.346
493,0.321,0.335
494,0.345,0.342
495,0.331,0.338
496,0.33,0.344
497,0.341,0.349
498,0.343,0.341
499,0.324,0.352
500,0.331,0.342
501,0.334,0.332
502,0.32,0.342
503,0.343,0.351
504,0.352,0.352
505,0.338,0.346
506,0.342,0.34
507,0.324,0.344
508,0.318,0.342
509,0.337,0.339
510,0.332,0.347
511,0.34,0.34
512,0.336,0.347
513,0.345,0.344
514,0.344,0.331
515,0.349,0.339
516,0.338,0.342
517,0.329,0.339
518,0.328,0.337
519,0.336,0.342
520,0.33,0.347
521,0.326,0.346
522,0.341,0.345
523,0.342,0.336
524,0.341,0.341
525,0.342,0.34
526,0.325,0.34
527,0.338,0.344
528,0.356,0.346
529,0.333,0.341
530,0.332,0.344
531,0.333,0.337
532,0.325,0.344
533,0.315,0.341
534,0.335,0.35
535,0.343,0.338
536,0.34,0.335
537,0.347,0.338
538,0.323,0.336
539,0.343,0.338
540,0.335,0.353
541,0.343,0.34
542,0.338,0.34
543,0.339,0.348
544,0.341,0.34
545,0.33,0.35
546,0.314,0.342
547,0.339,0.341
548,0.33,0.34
549,0.338,0.346
550,0.337,0.344
551,0.323,0.345
552,0.336,0.334
553,0.332,0.352
554,0.327,0.34
555,0.344,0.349
556,0.337,0.342
557,0.338,0.34
558,0.317,0.339
559,0.332,0.337
560,0.342,0.337
561,0.319,0.341
562,0.328,0.349
563,0.329,0.336
564,0.325,0.335
565,0.336,0.341
566,0.32,0.338
567,0.345,0.336
568,0.336,0.338
569,0.322,0.35
570,0.329,0.345
571,0.332,0.343
572,0.33,0.345
573,0.328,0.337
574,0.338,0.348
575,0.34,0.335
576,0.337,0.339
577,0.334,0.346
578,0.327,0.342
579,0.328,0.34
580,0.345,0.346
581,0.344,0.346
582,0.31,0.349
583,0.323,0.348
584,0.323,0.335
585,0.328,0.334
586,0.328,0.334
587,0.343,0.343
588,0.339,0.347
589,0.324,0.342
590,0.342,0.342
591,0.326,0.341
592,0.323,0.337
593,0.33,0.333
594,0.326,0.344
595,0.335,0.338
596,0.343,0.35
597,0.359,0.351
598,0.326,0.339
599,0.332,0.339
600,0.331,0.344
601,0.334,0.343
602,0.333,0.343
603,0.353,0.338
604,0.342,0.339
605,0.345,0.35
606,0.331,0.342
607,0.335,0.341
608,0.347,0.345
609,0.341,0.341
610,0.362,0.334
611,0.324,0.346
612,0.333,0.336
613,0.337,0.336
614,0.342,0.339
615,0.326,0.341
616,0.331,0.336
617,0.322,0.335
618,0.32,0.347
619,0.321,0.334
620,0.333,0.345
621,0.349,0.346
622,0.333,0.344
623,0.332,0.339
624,0.341,0.34
625,0.337,0.343
626,0.349,0.341
627,0.331,0.344
628,0.338,0.345
629,0.331,0.334
630,0.336,0.336
631,0.337,0.339
632,0.34,0.344
633,0.342,0.344
634,0.336,0.35
635,0.333,0.339
636,0.335,0.341
637,0.345,0.347
638,0.305,0.35
639,0.338,0.335
640,0.34,0.34
641,0.322,0.34
642,0.33,0.342
643,0.345,0.345
644,0.338,0.348
645,0.337,0.346
646,0.335,0.339
647,0.326,0.337
648,0.351,0.343
649,0.326,0.337
650,0.339,0.345
651,0.322,0.338
652,0.322,0.342
653,0.299,0.345
654,0.328,0.345
655,0.342,0.338
656,0.331,0.341
657,0.336,0.343
658,0.323,0.346
659,0.322,0.343
660,0.329,0.343
661,0.329,0.344
662,0.315,0.348
663,0.319,0.344
664,0.346,0.341
665,0.335,0.331
666,0.333,0.344
667,0.331,0.342
668,0.346,0.332
669,0.321,0.346
670,0.335,0.342
671,0.321,0.336
672,0.323,0.345
673,0.345,0.343
674,0.326,0.35
675,0.345,0.339
676,0.331,0.346
677,0.332,0.34
678,0.334,0.343
679,0.329,0.346
680,0.333,0.343
681,0.326,0.342
682,0.332,0.342
683,0.339,0.339
684,0.332,0.338
685,0.346,0.342
686,0.342,0.345
687,0.323,0.335
688,0.33,0.34
689,0.338,0.345
690,0.333,0.338
691,0.331,0.343
692,0.32,0.336
693,0.343,0.342
694,0.329,0.341
695,0.322,0.347
696,0.354,0.345
697,0.324,0.335
698,0.338,0.336
699,0.337,0.346
700,0.32,0.343
701,0.326,0.344
702,0.329,0.337
703,0.344,0.347
704,0.332,0.346
705,0.334,0.344
706,0.332,0.342
707,0.336,0.345
708,0.338,0.341
709,0.334,0.338
710,0.342,0.347
711,0.331,0.348
712,0.325,0.343
713,0.331,0.338
714,0.342,0.338
715,0.33,0.335
716,0.329,0.332
717,0.344,0.341
718,0.322,0.344
719,0.323,0.336
720,0.324,0.346
721,0.326,0.344
722,0.343,0.334
723,0.33,0.347
724,0.33,0.34
725,0.344,0.344
726,0.329,0.345
727,0.326,0.351
728,0.331,0.343
729,0.343,0.338
730,0.36,0.349
731,0.342,0.338
732,0.339,0.346
733,0.344,0.343
734,0.328,0.346
735,0.34,0.341
736,0.341,0.343
737,0.325,0.344
738,0.311,0.335
739,0.337,0.34
740,0.359,0.343
741,0.336,0.344
742,0.335,0.34
743,0.327,0.345
744,0.343,0.339
745,0.328,0.347
746,0.337,0.343
747,0.331,0.341
748,0.319,0.343
749,0.341,0.343
750,0.342,0.345
751,0.326,0.346
752,0.332,0.344
753,0.328,0.343
754,0.331,0.341
755,0.325,0.349
756,0.319,0.344
757,0.346,0.339
758,0.328,0.344
759,0.333,0.338
760,0.331,0.342
761,0.342,0.35
762,0.33,0.339
763,0.332,0.336
764,0.329,0.337
765,0.331,0.342
766,0.35,0.339
767,0.317,0.35
768,0.32,0.339
769,0.335,0.34
770,0.337,0.346
771,0.35,0.34
772,0.345,0.34
773,0.342,0.346
774,0.314,0.344
775,0.321,0.335
776,0.33,0.341
