,SAT,SAT_bleu,SAT_Met,base3_bleu,base3_Met
0,0.341,0.325,0.146,0.343,0.167
1,0.364,0.323,0.147,0.34,0.165
2,0.354,0.343,0.155,0.348,0.17
3,0.323,0.339,0.152,0.343,0.172
4,0.352,0.306,0.142,0.342,0.159
5,0.353,0.323,0.147,0.34,0.163
6,0.357,0.318,0.145,0.336,0.163
7,0.337,0.328,0.149,0.334,0.163
8,0.346,0.325,0.148,0.338,0.164
9,0.347,0.323,0.146,0.346,0.166
10,0.339,0.327,0.148,0.349,0.167
11,0.353,0.351,0.155,0.338,0.169
12,0.34,0.314,0.144,0.348,0.166
13,0.354,0.336,0.151,0.345,0.168
14,0.359,0.323,0.146,0.337,0.162
15,0.35,0.322,0.145,0.339,0.161
16,0.326,0.329,0.147,0.339,0.165
17,0.355,0.332,0.15,0.347,0.166
18,0.348,0.327,0.149,0.348,0.169
19,0.37,0.339,0.153,0.342,0.172
20,0.354,0.334,0.15,0.347,0.173
21,0.358,0.319,0.146,0.342,0.161
22,0.369,0.323,0.145,0.345,0.165
23,0.364,0.307,0.14,0.343,0.162
24,0.352,0.338,0.153,0.344,0.169
25,0.345,0.324,0.149,0.347,0.163
26,0.341,0.338,0.151,0.338,0.168
27,0.352,0.333,0.151,0.338,0.165
28,0.342,0.315,0.144,0.339,0.162
29,0.346,0.335,0.153,0.343,0.168
30,0.349,0.327,0.149,0.34,0.162
31,0.357,0.348,0.155,0.34,0.173
32,0.347,0.324,0.146,0.344,0.164
33,0.346,0.331,0.148,0.345,0.167
34,0.347,0.323,0.147,0.346,0.161
35,0.346,0.353,0.156,0.343,0.172
36,0.342,0.331,0.15,0.337,0.163
37,0.351,0.338,0.152,0.346,0.17
38,0.341,0.331,0.15,0.339,0.166
39,0.339,0.35,0.159,0.338,0.171
40,0.35,0.327,0.151,0.346,0.168
41,0.356,0.335,0.152,0.344,0.17
42,0.358,0.328,0.146,0.335,0.163
43,0.365,0.324,0.148,0.35,0.169
